,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
43,Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer,13-2041,Bachelor's degree,71290,69930,69680,67020,64030,61080,60730,58850,         57470,         55250,         54580
44,Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor,13-2071,Bachelor's degree,44710,44380,43840,42110,40280,39420,38430,38140,         37320,         37470,         36550
45,"Designers, all other    * Memorial Marker Designer",27-1029,Bachelor's degree,55930,53380,53280,49310,47020,45330,45590,45130,         44020,         43830,         43710
46,Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,29-1031,Bachelor's degree,59410,58920,57910,56950,55920,55240,54470,53250,         52150,         50590,         49010
47,"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director",21-2021,Bachelor's degree,38980,38610,38780,38480,38160,37280,36470,36170,         36190,         36100,         35370
48,Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,27-3041,Bachelor's degree,58770,57210,56010,54890,54150,53880,52380,51470,         50800,         49990,         48320
49,"Education administrators, all other",11-9039,Bachelor's degree,81630,78210,76930,77020,77380,76860,76730,75690,         73910,         71630,         69300
50,"Education administrators, preschool and childcare center/program    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director",11-9031,Bachelor's degree,46890,45790,45670,45260,44890,43950,43830,42960,         41060,         39940,         38580
51,"Education, training, and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader",25-9099,Bachelor's degree,43140,42600,40380,37890,36700,36610,35970,37590,         36300,         35510,         33030
52,Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer,17-2071,Bachelor's degree,95060,94210,93010,91410,89180,87920,85920,84540,         83110,         82160,         79240
53,"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer",17-2072,Bachelor's degree,102180,99210,98270,95790,94250,91820,91500,90170,         89310,         86370,         83340
54,"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher",25-2021,Bachelor's degree,57160,55800,54890,54120,53590,53400,52840,51660,         50510,         49330,         47330
55,"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer",17-2199,Bachelor's degree,97250,97300,95900,94240,92680,92030,90580,90270,         89560,         88570,         85260
56,Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer,17-2081,Bachelor's degree,86800,84890,84560,83360,82220,80890,79050,78740,         77040,         74020,         72350
57,"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst",19-2041,Bachelor's degree,69400,68910,67460,66250,65090,63570,62920,61700,         61010,         59750,         58380
58,Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer,27-1022,Bachelor's degree,67420,65170,63670,64030,63760,62860,64690,64530,         64260,         61160,         62810
59,Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,27-4032,Bachelor's degree,61180,62760,61750,57210,54490,51300,52940,50930,         50790,         50560,         47870
60,Financial analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst,13-2051,Bachelor's degree,84300,81760,80310,78620,78380,76950,75650,74350,         73670,         73150,         70400
61,Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner,13-2061,Bachelor's degree,81690,79280,78010,76310,76890,75800,75250,74940,         71750,         70930,         66670
62,Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,11-3031,Bachelor's degree,125080,121750,117990,115320,112700,109740,107160,103910,        101190,         99330,         95310
63,"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate* Foreign Exchange Trader",13-2099,Bachelor's degree,69520,69470,66670,65440,62510,61160,59810,60980,         58350,         57150,         55380
